"431","Uyo","Nigeria","1264636","1199929","0.0539"
"432","Mysore","India","1261097","1234992","0.0211"
"433","Dublin","Ireland","1255963","1241953","0.0113"
"434","San Luis Potosi","Mexico","1254382","1235426","0.0153"
"435","Astana","Kazakhstan","1253779","1211789","0.0347"
"436","Nizhniy Novgorod","Russia","1252917","1255073","-0.0017"
"437","Ruian","China","1246135","1208306","0.0313"
"438","Mwanza","Tanzania","1245444","1182011","0.0537"
"439","Durg-Bhilainagar","India","1244528","1225129","0.0158"
"440","Barquisimeto","Venezuela","1240714","1227444","0.0108"
"441","Jieyang","China","1240240","1194681","0.0381"
"442","Chelyabinsk","Russia","1237272","1232887","0.0036"
"443","Zhuzhou","China","1231664","1209032","0.0187"
"444","Baoji","China","1230134","1197824","0.0270"
"445","Maracay","Venezuela","1229520","1216288","0.0109"
"446","Bhubaneswar","India","1226033","1194431","0.0265"
"447","Pingdingshan Henan","China","1225598","1193224","0.0271"
"448","Zhenjiang Jiangsu","China","1225251","1199515","0.0215"
"449","Chifeng","China","1223975","1194621","0.0246"
"450","Puning","China","1223886","1192348","0.0265"
"451","Lilongwe","Malawi","1222325","1170870","0.0439"
"452","Jinhua","China","1215822","1170332","0.0389"
"453","Mendoza","Argentina","1209458","1191470","0.0151"
"454","Kigali","Rwanda","1208296","1169889","0.0328"
"455","Bogor","Indonesia","1207036","1183090","0.0202"
"456","Huaibei","China","1205931","1174248","0.0270"
"457","Merida","Mexico","1201142","1181387","0.0167"
"458","Tiruchirappalli","India","1200947","1181912","0.0161"
"459","Islamabad","Pakistan","1198035","1163584","0.0296"
"460","Chiang Mai","Thailand","1197931","1182498","0.0131"
"461","Nanyang Henan","China","1197901","1170491","0.0234"
"462","Xiangtan Hunan","China","1197437","1170327","0.0232"
"463","Benxi","China","1196384","1176490","0.0169"
"464","Jinzhou","China","1191977","1168535","0.0201"
"465","Chandigarh","India","1191299","1169244","0.0189"
"466","Bukavu","DR Congo","1190367","1133371","0.0503"
"467","Abomey-Calavi","Benin","1188736","1122713","0.0588"
"468","Da Nang","Vietnam","1188374","1156585","0.0275"
"469","Liupanshui","China","1183380","1131854","0.0455"
"470","Omsk","Russia","1181049","1181590","-0.0005"
"471","Nnewi","Nigeria","1176550","1113546","0.0566"
"472","Tripoli","Libya","1175830","1169790","0.0052"
"473","Guilin","China","1175605","1154702","0.0181"
"474","Amsterdam","Netherlands","1165898","1157519","0.0072"
"475","Tasikmalaya","Indonesia","1164908","1112112","0.0475"
"476","Haifa","Israel","1163950","1155006","0.0077"
"477","Binzhou","China","1163766","1124728","0.0347"
"478","Pizhou","China","1162776","1114385","0.0434"
"479","Quetta","Pakistan","1159635","1129361","0.0268"
"480","Mexicali","Mexico","1159544","1140298","0.0169"
"481","Krasnoyarsk","Russia","1158761","1148957","0.0085"
"482","Hubli-Dharwad","India","1158368","1136923","0.0189"
"483","Kaduna","Nigeria","1158048","1133430","0.0217"
"484","Samara","Russia","1157631","1160167","-0.0022"
"485","Guwahati","India","1154876","1135065","0.0175"
"486","Aba","Nigeria","1150116","1114388","0.0321"
